,cost,description,animal,property
135,260.0,redacted,cat,converted flat/maisonette - up to 2 storeys 
136,260.0,redacted,cat,park 
137,520.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
138,260.0,redacted,dog,other outdoor location 
139,260.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
140,260.0,redacted,cat,house - single occupancy 
141,260.0,redacted,cat,house - single occupancy 
142,260.0,redacted,dog,house - single occupancy 
143,260.0,redacted,dog,river/canal 
144,260.0,redacted,cat,house - single occupancy 
145,260.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
146,260.0,redacted,cat,house - single occupancy 
147,260.0,redacted,cat,house - single occupancy 
148,260.0,redacted,cat,tree scrub 
149,260.0,redacted,cat,bungalow - single occupancy 
150,260.0,redacted,dog,van 
151,260.0,redacted,cat,house - single occupancy 
152,260.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
153,260.0,redacted,cat,house - single occupancy 
154,260.0,redacted,cat,converted flat/maisonettes - 3 or more storeys
155,260.0,redacted,cat,house - single occupancy 
156,260.0,redacted,cat,cycle path/public footpath/bridleway 
157,260.0,redacted,cat,house - single occupancy 
158,260.0,redacted,cat,wasteland 
159,260.0,redacted,cat,wasteland 
160,260.0,redacted,cat,private garden shed 
161,260.0,redacted,cat,house - single occupancy 
162,260.0,redacted,cat,single shop 
163,260.0,redacted,cat,river/canal 
164,260.0,redacted,cat,private garage 
165,260.0,redacted,dog,private garage 
166,260.0,redacted,cat,house - single occupancy 
167,260.0,redacted,bird,purpose built flats/maisonettes - 4 to 9 storeys 
168,260.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
169,260.0,redacted,fox,river/canal 
170,260.0,redacted,cat,house - single occupancy 
171,520.0,redacted,dog,other industrial manufacturing facility
172,260.0,redacted,bird,purpose built flats/maisonettes - 10 or more storeys 
173,260.0,redacted,bird,other outdoor location 
174,260.0,redacted,bird,warehouse 
175,260.0,redacted,dog,house - single occupancy 
176,260.0,redacted,cat,house - single occupancy 
177,260.0,redacted,dog,domestic garden (vegetation not equipment) 
178,260.0,redacted,cat,house - single occupancy 
179,520.0,redacted,horse,canal/riverbank vegetation 
180,780.0,redacted,deer,river/canal 
181,260.0,redacted,bird,other outdoor location 
182,260.0,redacted,cat,house - single occupancy 
183,260.0,redacted,bird,house - single occupancy 
184,260.0,redacted,bird,restaurant/cafe
185,1820.0,redacted,cat,river/canal 
186,260.0,redacted,cat,converted flat/maisonettes - 3 or more storeys
187,260.0,redacted,dog,"grassland, pasture, grazing etc "
188,260.0,redacted,cat,woodland/forest - broadleaf/hardwood 
189,260.0,redacted,bird,purpose built flats/maisonettes - up to 3 storeys 
190,260.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
191,260.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
192,260.0,redacted,cat,house - single occupancy 
193,260.0,redacted,bird,house - single occupancy 
194,260.0,redacted,squirrel,car 
195,260.0,redacted,dog,purpose built flats/maisonettes - 4 to 9 storeys 
196,780.0,redacted,fox,converted flat/maisonettes - 3 or more storeys
197,260.0,redacted,bird,house - single occupancy 
198,520.0,redacted,cat,domestic garden (vegetation not equipment) 
199,260.0,redacted,bird,purpose built flats/maisonettes - 10 or more storeys 
200,260.0,redacted,cat,bridge
201,260.0,redacted,dog,car 
202,260.0,redacted,dog,car 
203,260.0,redacted,dog,domestic garden (vegetation not equipment) 
204,260.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
205,1040.0,redacted,bird,house - single occupancy 
206,260.0,redacted,bird,multi-storey car park
207,260.0,redacted,bird,bridge
208,260.0,redacted,cat,domestic garden (vegetation not equipment) 
209,260.0,redacted,bird,vehicle repair workshop
210,260.0,redacted,cat,converted flat/maisonettes - 3 or more storeys
211,260.0,redacted,bird,house - single occupancy 
212,260.0,redacted,bird,purpose built flats/maisonettes - up to 3 storeys 
213,260.0,redacted,bird,tree scrub 
214,260.0,redacted,cat,private garage 
215,260.0,redacted,bird,house - single occupancy 
216,520.0,redacted,horse,river/canal 
217,260.0,redacted,dog,park 
218,260.0,redacted,cat,house - single occupancy 
219,260.0,redacted,horse,"grassland, pasture, grazing etc "
220,260.0,redacted,bird,house - single occupancy 
221,260.0,redacted,dog,house - single occupancy 
222,260.0,redacted,bird,purpose built flats/maisonettes - up to 3 storeys 
223,260.0,redacted,unknown - domestic animal or pet,purpose built flats/maisonettes - 4 to 9 storeys 
224,260.0,redacted,cat,house - single occupancy 
225,260.0,redacted,squirrel,house - single occupancy 
226,260.0,redacted,cat,tree scrub 
227,260.0,redacted,cat,wasteland 
228,260.0,redacted,dog,domestic garden (vegetation not equipment) 
229,260.0,redacted,dog,railway trackside vegetation 
230,260.0,redacted,cat,house - single occupancy 
231,260.0,redacted,cat,woodland/forest - broadleaf/hardwood 
232,260.0,redacted,bird,park 
233,260.0,redacted,bird,house - single occupancy 
234,260.0,redacted,cat,domestic garden (vegetation not equipment) 
235,260.0,redacted,cat,house - single occupancy 
236,260.0,redacted,dog,railings
237,260.0,redacted,bird,house - single occupancy 
238,260.0,redacted,unknown - wild animal,house - single occupancy 
239,260.0,redacted,cat,house - single occupancy 
240,260.0,redacted,bird,large supermarket 
241,260.0,redacted,bird,large supermarket 
242,260.0,redacted,dog,converted flat/maisonette - up to 2 storeys 
243,260.0,redacted,unknown - heavy livestock animal,fire station 
244,260.0,redacted,cat,house - single occupancy 
245,260.0,redacted,bird,restaurant/cafe
246,260.0,redacted,cat,house - single occupancy 
247,260.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
248,780.0,redacted,dog,house - single occupancy 
249,260.0,redacted,cat,house - single occupancy 
250,260.0,redacted,bird,converted flat/maisonettes - 3 or more storeys
251,260.0,redacted,cat,house - single occupancy 
252,260.0,redacted,cat,house - single occupancy 
253,260.0,redacted,dog,other outdoor structures 
254,260.0,redacted,dog,house - single occupancy 
255,260.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
256,260.0,redacted,dog,purpose built flats/maisonettes - up to 3 storeys 
257,260.0,redacted,snake,purpose built flats/maisonettes - up to 3 storeys 
258,260.0,redacted,cat,car 
259,260.0,redacted,dog,"grassland, pasture, grazing etc "
260,780.0,redacted,horse,lake/pond/reservoir 
261,260.0,redacted,bird,converted flat/maisonette - up to 2 storeys 
262,260.0,redacted,cat,road surface/pavement 
263,260.0,redacted,bird,converted flat/maisonette - up to 2 storeys 
264,260.0,redacted,bird,other outdoor location 
265,260.0,redacted,dog,river/canal 
266,260.0,redacted,cat,purpose built flats/maisonettes - up to 3 storeys 
267,260.0,redacted,cat,house - single occupancy 
268,260.0,redacted,bird,church/chapel 
269,260.0,redacted,cat,converted flat/maisonettes - 3 or more storeys
270,520.0,redacted,fox,converted flat/maisonettes - 3 or more storeys
271,260.0,redacted,dog,lake/pond/reservoir 
272,260.0,redacted,dog,car 
273,260.0,redacted,cat,purpose built flats/maisonettes - 10 or more storeys 
274,520.0,redacted,cat,domestic garden (vegetation not equipment) 
275,260.0,redacted,bird,purpose built flats/maisonettes - 10 or more storeys 
276,260.0,redacted,bird,converted flat/maisonettes - 3 or more storeys
277,260.0,redacted,cat,park 
278,260.0,redacted,cat,pub/wine bar/bar 
279,260.0,redacted,cat,tree scrub 
280,260.0,redacted,cat,house - single occupancy 
281,260.0,redacted,unknown - domestic animal or pet,house - single occupancy 
282,260.0,redacted,bird,converted flat/maisonettes - 3 or more storeys
283,260.0,redacted,dog,house - single occupancy 
284,260.0,redacted,dog,railings
285,260.0,redacted,cat,private garage 
286,260.0,kitten with head stuck in jar,cat,house - single occupancy 
287,260.0,cat stuck up tree,cat,park 
288,260.0,bird trapped in drainpipe,bird,pipe or drain 
289,260.0,deer stuck in fence,deer,park 
290,260.0,cat trapped on fence,cat,house - single occupancy 
291,260.0,cat trapped under building foundations,cat,house - single occupancy 
292,260.0,injured pigeon trapped on ledge,bird,police station 
293,260.0,dog locked in car,dog,diy warehouse 
294,260.0,duck trapped by fishing line in centre of lake,bird,park 
295,260.0,assist rspca with birds trapped in fishing line on pond,bird,lake/pond/reservoir 
296,260.0,bird trapped in neeting,bird,other outdoor location 
297,260.0,redacted,cat,purpose built flats/maisonettes - 4 to 9 storeys 
298,260.0,dog trapped under van wheelarch,dog,car 
299,520.0,injured cat in precarious position,cat,purpose built flats/maisonettes - 4 to 9 storeys 
300,260.0,bird trapped in guttering,bird,house - single occupancy 
301,520.0,crow stuck in wiring,bird,tree scrub 
302,260.0,unknown snake in house,snake,house - single occupancy 
303,260.0,fox trapped in fence,fox,house - single occupancy 
304,260.0,cat trapped on roof,cat,house - single occupancy 
305,260.0,cat on roof,cat,house - single occupancy 
306,260.0,cat trapped in cellar,cat,purpose built flats/maisonettes - up to 3 storeys 
307,520.0,cat trapped in car bonnet,cat,car 
308,260.0,dog with head trapped in railings,dog,domestic garden (vegetation not equipment) 
309,260.0,running call to dog in precarious position,dog,purpose built flats/maisonettes - up to 3 storeys 
310,260.0,pet lizard trapped behind radiator,lizard,purpose built flats/maisonettes - up to 3 storeys 
311,520.0,redacted,snake,nursing/care home/hospice
312,260.0,dog in water,dog,river/canal 
313,260.0,dog stuck under jetty in lake,dog,other outdoor structures 
315,520.0,deer trapped in ditch,deer,car 
316,260.0,cat on window ledge,cat,house - single occupancy 
317,260.0,cat trapped between kitchen cupboard,cat,house - single occupancy 
318,260.0,cat trapped between fence behind,cat,domestic garden (vegetation not equipment) 
319,260.0,dog on window ledge,dog,converted flat/maisonettes - 3 or more storeys
320,260.0,bird trapped on wall by netting,bird,house - single occupancy 
321,260.0,kitten trapped in pen,cat,house - single occupancy 
322,260.0,assist rspca with cat up tree,cat,tree scrub 
323,260.0,cat trapped in drain,cat,purpose built flats/maisonettes - 4 to 9 storeys 
324,260.0,dog stuck under shed,dog,other private non-residential building 
325,520.0,cat stuck in car engine,cat,car 
326,260.0,distressed kitten stuck up tree,cat,domestic garden (vegetation not equipment) 
327,260.0,pigeon trapped in fishing line and hanging from tree,bird,woodland/forest - conifers/softwood 
328,520.0,assist rspca with cat trapped under floorboardis,cat,house - single occupancy 
329,260.0,horse collapsed,horse,other road vehicle
330,260.0,injured cat stuck at top of tree,cat,house - single occupancy 
331,260.0,bird trapped in sky light,bird,house - single occupancy 
332,260.0,cat stuck in building,cat,house - single occupancy 
333,260.0,"cat trapped under object,",cat,house - single occupancy 
334,260.0,dog trapped in lead,dog,converted flat/maisonettes - 3 or more storeys
335,260.0,dog trapped in bars of gate,dog,purpose built flats/maisonettes - up to 3 storeys 
336,520.0,dog stranded in pond,dog,lake/pond/reservoir 
337,260.0,cat stuck in loft space,cat,purpose built flats/maisonettes - 10 or more storeys 
338,260.0,animal trapped in chimney stack,unknown - heavy livestock animal,house - single occupancy 
339,520.0,kitten trapped behind piping,cat,purpose built flats/maisonettes - 4 to 9 storeys 
340,260.0,small animal rescue,unknown - heavy livestock animal,house - single occupancy 
341,260.0,cat paw trapped under floorboards,cat,house - single occupancy 
342,260.0,cat trapped under floorboards,cat,house - single occupancy 
343,260.0,injured dog trapped behind fence,dog,roadside vegetation 
344,260.0,assist rspca with dog stranded on roof,dog,converted flat/maisonette - up to 2 storeys 
345,260.0,assist rspca  get cat from tree,cat,tree scrub 
346,260.0,fox trapped in metal gate,fox,cycle path/public footpath/bridleway 
347,260.0,cat fallen down hole,cat,road surface/pavement 
348,260.0,pidgeon trapped on balcony,bird,purpose built flats/maisonettes - 4 to 9 storeys 
349,260.0,bird trapped in netting,bird,house - single occupancy 
350,260.0,assist rspca with cat stuck on roof,cat,house - single occupancy 
351,260.0,dog in precarous position,dog,purpose built flats/maisonettes - up to 3 storeys 
352,260.0,dog with leg trapped behind radiator,dog,house - single occupancy 
353,260.0,cat trapped in tree,cat,tree scrub 
354,260.0,two dogs in toilet   elderly lady involved,dog,house - single occupancy 
356,260.0,small animal rescue,unknown - heavy livestock animal,domestic garden (vegetation not equipment) 
357,260.0,goose trapped in fishing wire,bird,lake/pond/reservoir 
358,260.0,cat stuck in a car,cat,car 
359,260.0,dog in the river,dog,river/canal 
360,260.0,kitten stuck behined kitchen units,cat,purpose built flats/maisonettes - up to 3 storeys 
361,260.0,person locked out danger of fire,unknown - heavy livestock animal,converted flat/maisonette - up to 2 storeys 
362,260.0,assist member of public,unknown - heavy livestock animal,converted flat/maisonette - up to 2 storeys 
363,260.0,cat stuck between walls,cat,converted flat/maisonettes - 3 or more storeys
364,260.0,cat trapped behind kitchen units,cat,purpose built flats/maisonettes - up to 3 storeys 
365,260.0,assist rspca with pigeon trapped in railings,bird,railings
366,260.0,dog with leg trapped in metal table leg,dog,converted flat/maisonette - up to 2 storeys 
367,260.0,animal trapped behind  fireplace,unknown - wild animal,purpose built flats/maisonettes - up to 3 storeys 
368,260.0,fox and cat trapped in basement area,cat,purpose built flats/maisonettes - up to 3 storeys 
369,260.0,small animal caught in fence,unknown - wild animal,house - single occupancy 
370,260.0,kitten trapped in pipe,cat,house - single occupancy 
371,260.0,dog trapped between fence and van,dog,house - single occupancy 
372,260.0,cat stuck in fence,cat,house - single occupancy 
373,1300.0,horse stuck in canal,horse,river/canal 
374,260.0,fox stuck on roof,fox,shopping centre 
375,260.0,cat in precarious position,cat,purpose built flats/maisonettes - 10 or more storeys 
376,260.0,cat trapped in barbed wire,cat,house - single occupancy 
377,520.0,pigeon tangled in wire at first floor level,bird,house - single occupancy 
378,260.0,kitten in distress on roof of flats,cat,purpose built flats/maisonettes - 4 to 9 storeys 
379,260.0,assist rspca with pidgeon trapped in wire in tree,bird,purpose built flats/maisonettes - 4 to 9 storeys 
380,260.0,kitten trapped on roof and in distress,cat,house - single occupancy 
381,520.0,dog trapped under bus,dog,bus/coach 
382,260.0,cat trapped on window sill,cat,purpose built flats/maisonettes - 10 or more storeys 
383,260.0,running call to cat stuck in basement,cat,purpose built flats/maisonettes - 4 to 9 storeys 
384,260.0,cat in stuck in bin chute,cat,purpose built flats/maisonettes - 4 to 9 storeys 
385,260.0,cat trapped under bath,cat,house - single occupancy 
386,260.0,pigeon hanging from wiring,bird,cables 
387,260.0,cat up tree,cat,domestic garden (vegetation not equipment) 
388,520.0,assist rspca with hedgehog stuck in drain,hedgehog,hotel/motel 
389,260.0,pigeon stuck on roof area,bird,converted flat/maisonettes - 3 or more storeys
390,260.0,cat stuck on roof,cat,house - single occupancy 
391,780.0,redacted,horse,lake/pond/reservoir 
392,260.0,dog in distress,dog,house - single occupancy 
393,520.0,dog with head stuck in basket,dog,cycle path/public footpath/bridleway 
394,260.0,assist police with ducklings in drain,bird,other outdoor location 
395,260.0,assist police at scene of previous incident,unknown - heavy livestock animal,pipe or drain 
396,260.0,cat trapped in cupboard,cat,house - single occupancy 
397,260.0,cat trapped in barbed wire,cat,purpose built flats/maisonettes - up to 3 storeys 
398,260.0,assist rspca with kitten stuck on roof,cat,house - single occupancy 
399,260.0,dog trapped in tunnel,dog,"tunnel, subway "
400,260.0,injured cygent stuck in mud,bird,river/canal 
401,260.0,small animal rescue,cat,private garage 
402,260.0,white cat trapped on top of building,cat,purpose built flats/maisonettes - 4 to 9 storeys 
403,260.0,cat locked in vacant flat,cat,house - single occupancy 
404,780.0,young deer trapped in river,deer,river/canal 
405,260.0,dog stuck in railings,dog,park 
406,260.0,cat trapped between fence and brick wall,cat,house - single occupancy 
407,260.0,dog stuck in fence,dog,park 
408,260.0,cat with paw trapped in tree,cat,tree scrub 
409,260.0,horse in distress,horse,"grassland, pasture, grazing etc "
410,260.0,cat with head stuck in window,cat,tenement building 
411,260.0,cat trapped inside vehicle,cat,car 
412,260.0,puppy stuck behind radiator,dog,purpose built flats/maisonettes - up to 3 storeys 
413,260.0,deer trapped in gates,deer,cycle path/public footpath/bridleway 
414,260.0,cat stuck in chimney,cat,house - single occupancy 
415,260.0,cat trapped behind cupboard,cat,house - single occupancy 
416,260.0,house martin tapped in grate,bird,house - single occupancy 
417,260.0,dog in canal,dog,river/canal 
418,260.0,cat trapped under fence,cat,house - single occupancy 
419,260.0,dog thrown into electricity sub station,dog,other outdoor equipment/machinery 
420,260.0,cat trapped in basement,cat,converted flat/maisonettes - 3 or more storeys
421,260.0,cat trapped between curtain rail and wall,cat,purpose built flats/maisonettes - up to 3 storeys 
422,260.0,dog trapped under portakabin,dog,house - single occupancy 
423,260.0,dog in precarious position on balcony,dog,purpose built flats/maisonettes - 4 to 9 storeys 
424,260.0,cat trapped in shutters,cat,single shop 
425,1300.0,horse stuck in mud,horse,wasteland 
426,260.0,pigeon trapped behind shop sign,bird,large supermarket 
427,780.0,horse impailed on railings - large animal rescue,horse,scrub land 
428,520.0,cat trapped in car bonnet,cat,car 
429,260.0,running call to assist rspca with trapped gull in netting,bird,diy warehouse 
430,260.0,cat trapped between two walls,cat,other outdoor structures 
431,1040.0,cat stuck between two walls,cat,purpose built flats/maisonettes - up to 3 storeys 
432,260.0,cat stuck under sink,cat,purpose built flats/maisonettes - up to 3 storeys 
433,260.0,kittens stuck in chimney,cat,house - single occupancy 
434,260.0,dog trapped in derelict house basement - normansfield house,dog,house - single occupancy 
435,260.0,cat stuck behind pipes in bathroom,cat,house - single occupancy 
436,520.0,animal in distress at rear of property,unknown - domestic animal or pet,"grassland, pasture, grazing etc "
437,520.0,running call to cat in distress,cat,tree scrub 
438,260.0,cat locked in garage,cat,house - single occupancy 
439,260.0,dog stuck on roof,dog,purpose built flats/maisonettes - up to 3 storeys 
440,260.0,cat locked in garage,cat,private garage 
441,1300.0,horse stuck in reservoir,horse,river/canal 
442,260.0,deer trapped under bus,deer,railings
443,260.0,dog with paw stuck in door stop,dog,house - single occupancy 
444,260.0,dog trapped in metal railings,dog,house - single occupancy 
445,260.0,dog trapped in window frame,dog,purpose built flats/maisonettes - up to 3 storeys 
446,260.0,assist rspca with cat up tree,cat,domestic garden (vegetation not equipment) 
447,260.0,redacted,cat,"roadside furniture (eg lamp posts, road signs, telegraph poles, speed cameras)"
448,260.0,cat in distress stuck on wall,cat,house - single occupancy 
449,1560.0,road traffic accident,unknown - heavy livestock animal,road surface/pavement 
450,260.0,dog stuck between window and frame,dog,house - single occupancy 
451,260.0,cat up tree,cat,house - single occupancy 
452,260.0,cat stuck in hole in garden,cat,converted flat/maisonettes - 3 or more storeys
453,260.0,dog fallen into a pit - fru required for line ops,dog,mine or quarry (not above ground building)
454,260.0,kitten trapped in wall,cat,house - single occupancy 
455,260.0,kitten trapped in chimney,cat,house - single occupancy 
456,260.0,fox with tail trapped in fence,fox,domestic garden (vegetation not equipment) 
457,260.0,assist rspca with rescue of swan from sewage works,bird,lake/pond/reservoir 
458,260.0,cat trapped in chair,cat,purpose built flats/maisonettes - up to 3 storeys 
459,260.0,cat trapped in window,cat,purpose built flats/maisonettes - 4 to 9 storeys 
460,260.0,injured cat trapped in building,cat,purpose built flats/maisonettes - up to 3 storeys 
461,260.0,assist rspca with cat up tree,cat,tree scrub 
462,260.0,assist rspca with fox under drain,fox,pipe or drain 
463,260.0,kitten trapped in window,cat,purpose built flats/maisonettes - up to 3 storeys 
464,260.0,kitten in distress on balcony,cat,purpose built flats/maisonettes - 10 or more storeys 
465,260.0,assist rspca with cat up tree,cat,tree scrub 
466,260.0,redacted,cat,purpose built flats/maisonettes - 10 or more storeys 
467,260.0,cat stuck in ventilation shaft,cat,purpose built flats/maisonettes - 4 to 9 storeys 
468,260.0,assist rspca with cat stuck on roof,cat,house - single occupancy 
469,260.0,dog trapped between fences,dog,converted flat/maisonette - up to 2 storeys 
470,260.0,injured cat fallen onto first floor balcony,cat,purpose built flats/maisonettes - 4 to 9 storeys 
471,260.0,cat stuck on roof for two days,cat,house - single occupancy 
472,520.0,redacted,horse,wasteland 
473,260.0,small animal rescue - cat trapped between walls,cat,house - single occupancy 
474,260.0,running call to stray horse in roadway,horse,road surface/pavement 
475,780.0,small animals in distress,unknown - wild animal,lake/pond/reservoir 
476,780.0,assist rspca with horse stuck in water,horse,river/canal 
477,260.0,deer trapped in fence,deer,secondary school
478,520.0,dog trapped in hole in church yard,dog,cemetery 
479,260.0,dog trapped on roof of house,dog,house in multiple occupation - up to 2 storeys (not known if licensed) 
480,260.0,kitten trapped behind radiator,cat,house - single occupancy 
481,260.0,cat stuck on roof,cat,house - single occupancy 
482,260.0,assist rspca with cat up tree,cat,other outdoor location 
483,780.0,assist rspca with cat stuck on roof,cat,house - single occupancy 
484,260.0,cat stuck under shed,cat,private garden shed 
485,260.0,dog stuck in fence,dog,park 
486,260.0,cat stuck between walls,cat,house - single occupancy 
487,260.0,dog locked in car,dog,car 
488,260.0,puppy trapped between wall,dog,house - single occupancy 
489,260.0,fox stuck in swimming pool,fox,house - single occupancy 
490,260.0,distressed cat stuck up tree,cat,heathland 
491,260.0,dog trapped in bushes,dog,woodland/forest - conifers/softwood 
492,1820.0,horse trapped in mud and water,horse,river/canal 
493,780.0,cat trapped on roof,cat,house - single occupancy 
494,260.0,cat stuck inside building,cat,private garden shed 
495,260.0,running call kitten with head stuck in bongo drums,cat,fire station 
496,260.0,dog trapped in barbed wire in woods,dog,park 
497,260.0,cat trapped behind fitted cupboard,cat,purpose built flats/maisonettes - up to 3 storeys 
498,260.0,cat locked in building under renovation,cat,bungalow - single occupancy 
